userID	artistID	weight
1236	7	15239
1236	198	1158
1236	210	897
1236	377	990
1236	416	1032
1236	453	1758
1236	464	914
1236	472	3877
1236	475	10240
1236	490	2557
1236	517	1969
1236	547	881
1236	614	69301
1236	757	1070
1236	808	2088
1236	812	2955
1236	854	2674
1236	856	2495
1236	923	6015
1236	953	1988
1236	966	1970
1236	978	7651
1236	1104	7365
1236	1118	9050
1236	1131	18600
1236	1179	3653
1236	1401	700
1236	1409	874
1236	1410	3392
1236	1449	696
1236	2172	14820
1236	2352	1274
1236	2366	2559
1236	2380	2096
1236	2474	3749
1236	2479	10491
1236	2818	1251
1236	4365	2503
1236	5154	787
1236	5947	1396
1236	6257	7606
1236	6618	5743
1236	6678	928
1236	8347	803
1236	8930	1575
1236	10956	2390
1236	11021	776
1236	13375	1606
1236	13376	1500
1236	13377	778
